Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_40_059.jpg;0;0.89586;0;0.2796274;103.1489;192.9652;1.212579;289.4148;359.2702
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_40_126.jpg;0;1;0;0.366276;103.1587;192.9365;1.245848;289.436;359.5647
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_40_193.jpg;0;1;0;0.4314837;103.1678;192.9132;1.148376;289.2874;359.92
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_40_259.jpg;0;1;0;0.5401347;103.1765;192.8848;1.05497;289.2647;0.2077857
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_40_326.jpg;0;1;0;0.5722619;103.1888;192.8445;0.831108;289.2657;0.3903123
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_40_392.jpg;0;1;0;0.6234965;103.1998;192.8109;0.6715838;289.35;0.4377457
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_40_459.jpg;0;1;0;0.6806894;103.2129;192.7729;0.6034762;289.396;0.4704222
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_40_526.jpg;0;1;0;0.7335144;103.2324;192.7164;0.6233514;289.5125;0.4821203
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_40_593.jpg;0;1;0;0.7832035;103.2484;192.67;0.6966359;289.4668;0.4590457
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_40_659.jpg;0;0.9021494;0;0.8395508;103.2653;192.6207;0.7892336;289.4961;0.3930341
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_40_726.jpg;0;0.7027576;0;0.8809092;103.288;192.5518;0.9082624;289.8069;0.2309844
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_40_793.jpg;0;0.9000616;0;0.8920869;103.3063;192.4988;0.9844612;290.0946;0.1178766
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_40_859.jpg;0;1;0;0.9595801;103.3265;192.4427;1.097803;290.1099;0.02526952
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_40_925.jpg;0;1;0;1.013157;103.3561;192.364;1.259704;290.0901;359.981
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_40_992.jpg;0;0.8974538;0;1.05912;103.379;192.3029;1.303071;290.0968;-0.002288826
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_41_058.jpg;0;0.6976693;0;1.107391;103.4015;192.2406;1.286057;290.2425;-0.003562027
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_41_126.jpg;0;0.4977667;0;1.141257;103.4321;192.1566;1.163069;290.2905;-4.871516E-05
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_41_193.jpg;0;0.2996352;0;1.152922;103.4554;192.0927;1.069297;290.2842;-5.747965E-05
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_41_258.jpg;0;0.1004708;0;1.165477;103.479;192.0279;0.9794492;290.2782;-5.463616E-05
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_41_326.jpg;0;0;0;1.176385;103.5103;191.9424;0.8256564;290.273;0.00412745
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_41_392.jpg;-2.945205;0;0;1.169437;103.5328;191.8784;0.6955296;290.1188;-0.00380647
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_41_458.jpg;-5.971188;0;0;1.163842;103.5538;191.8145;0.5519924;289.7698;359.9607
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_41_525.jpg;-8.96994;0;0;1.158674;103.579;191.7291;0.3435251;288.972;359.8605
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_41_592.jpg;-11.95844;0;0;1.152845;103.5955;191.6649;0.1802235;288.1392;359.7447
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_41_658.jpg;-14.96948;0;0;1.143694;103.6098;191.6007;0.01441077;287.124;359.5972
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_41_725.jpg;-15;0;0;1.136579;103.6271;191.5146;359.8422;285.6577;359.4217
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_41_792.jpg;-15;0;0;1.129576;103.6385;191.4496;359.752;284.5436;359.2993
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_41_858.jpg;-15;0;0;1.120791;103.6487;191.3842;359.7012;283.429;359.2003
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_41_926.jpg;-13.50807;0;0;1.114873;103.6614;191.296;359.7145;282.0186;359.1353
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_41_992.jpg;-10.47894;0;0;1.110098;103.6706;191.2292;359.7816;281.1476;359.1487
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_42_059.jpg;-10.45753;0;0;1.105429;103.6792;191.1624;359.8522;280.4001;359.1781
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_42_125.jpg;-13.45476;0;0;1.09985;103.6871;191.0739;359.9247;279.1353;359.1724
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_42_191.jpg;-15;0;0;1.09343;103.6906;191.0081;359.9631;278.0194;359.1427
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_42_258.jpg;-15;0;0;1.086558;103.6927;190.9427;359.9941;276.8919;359.1142
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_42_324.jpg;-15;0;0;1.081806;103.6936;190.8564;0.003404122;275.4001;359.078
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_42_391.jpg;-15;0;0;1.077348;103.6928;190.7922;0.0005666155;274.2925;359.0557
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_42_458.jpg;-15;0;0;1.070824;103.6908;190.7283;-0.004798858;273.1891;359.0352
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_42_526.jpg;-15;0;0;1.066146;103.6862;190.6438;359.9841;271.7279;359.0132
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_42_591.jpg;-13.58246;0;0;1.061329;103.6817;190.5808;359.9731;270.6884;359.0062
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_42_658.jpg;-10.57084;0;0;1.057324;103.6772;190.518;359.9648;269.8116;359.0277
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_42_724.jpg;-7.606598;0;0;1.054899;103.6716;190.4344;359.9479;268.95;359.096
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_42_792.jpg;-4.542453;0.1028581;0;1.052088;103.668;190.3717;359.9343;268.5467;359.1778
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_42_858.jpg;-1.531234;0.303606;0;1.063048;103.6651;190.3086;359.9292;268.3254;359.2848
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_42_924.jpg;0;0.5038619;0;1.067925;103.6624;190.2219;359.9756;268.2861;359.4624
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_42_992.jpg;0;0.701658;0;1.096079;103.6603;190.1541;0.067462;268.2748;359.5954
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_43_057.jpg;0;0.9007437;0;1.139884;103.6581;190.0833;0.2160567;268.2807;359.7246
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_43_124.jpg;0;1;0;1.180924;103.655;189.983;0.5175264;268.2736;359.887
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_43_191.jpg;0;1;0;1.22699;103.6527;189.9038;0.788742;268.279;0.01451686
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_43_258.jpg;0;1;0;1.28888;103.6493;189.822;1.051313;268.2608;0.07322672
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_43_324.jpg;0;1;0;1.334672;103.6442;189.7099;1.326498;268.2197;0.05353783
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_43_391.jpg;0;1;0;1.373584;103.6411;189.6263;1.308333;268.2787;-0.004643933
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_43_457.jpg;0;1;0;1.450572;103.6386;189.5405;1.236463;268.2957;-0.0008284967
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_43_523.jpg;0;1;0;1.499599;103.6346;189.4203;1.215241;268.287;-0.0005561818
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_43_591.jpg;-2.978014;1;0;1.54476;103.6305;189.3262;1.248735;268.1017;0.000124809
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_43_657.jpg;-6.011689;1;0;1.603272;103.6247;189.2297;1.273706;267.654;0.0009455045
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_43_723.jpg;-8.993029;1;0;1.648284;103.6131;189.0979;1.258798;266.5877;359.9942
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_43_791.jpg;-11.99705;1;0;1.693276;103.6004;188.9967;1.232322;265.4431;359.9534
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_43_856.jpg;-14.98676;1;0;1.748826;103.5839;188.894;1.178368;263.9989;359.8959
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_43_923.jpg;-15;1;0;1.790834;103.5561;188.7548;1.06329;261.8161;359.8004
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_43_991.jpg;-13.45358;1;0;1.834517;103.5316;188.6482;0.9708722;260.2077;359.7225
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_44_057.jpg;-10.52205;0.804565;0;1.892137;103.505;188.5394;0.8876899;258.8116;359.655
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_44_124.jpg;-7.447747;0.5996113;0;1.925716;103.4676;188.3916;0.7798287;257.4083;359.5982
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_44_190.jpg;-4.476213;0.401509;0;1.950384;103.4388;188.2791;0.7117971;256.7156;359.5676
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_44_257.jpg;-1.485111;0.2021022;0;1.967059;103.4103;188.1659;0.6453036;256.3249;359.5576
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_44_324.jpg;0;0.003693819;0;1.968306;103.3736;188.0148;0.5375648;256.2392;359.5849
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_44_390.jpg;0;0;0;1.96284;103.3463;187.9021;0.4381769;256.2372;359.6095
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_44_457.jpg;0;0;0;1.954397;103.319;187.79;0.3281136;256.2378;359.6342
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_44_524.jpg;0;0;0;1.948032;103.2827;187.6414;0.1703459;256.2368;359.6691
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_44_590.jpg;0;0;0;1.941624;103.2555;187.5305;0.04560046;256.2363;359.7002
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_44_656.jpg;0;0;0;1.933003;103.2285;187.42;359.9203;256.2357;359.7346
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_44_723.jpg;0;0;0;1.926489;103.1926;187.2729;359.7667;256.2383;359.7919
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_44_790.jpg;-2.955151;0;0;1.919627;103.1644;187.1631;359.6732;256.0464;359.8145
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_44_855.jpg;-6.000155;0;0;1.909464;103.1341;187.054;359.5997;255.5692;359.8004
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_44_922.jpg;-8.988426;0;0;1.900569;103.0895;186.9099;359.5389;254.4435;359.713
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_44_989.jpg;-12.00366;0;0;1.890701;103.052;186.8035;359.5179;253.2405;359.5838
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_45_056.jpg;-9.008145;0;0;1.878144;103.0128;186.6979;359.5222;252.0446;359.4498
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_45_123.jpg;-6.008942;0;0;1.872089;102.96;186.5573;359.5605;250.8876;359.3221
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_45_189.jpg;-3.014728;0;0;1.86581;102.9208;186.4515;359.6254;250.3775;359.2956
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_45_256.jpg;-0.02272367;0;0;1.857054;102.8823;186.3457;359.6943;250.1667;359.3143
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_45_323.jpg;0;0;0;1.850796;102.8317;186.2054;359.7633;250.1311;359.3695
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_45_390.jpg;0;0;0;1.844618;102.794;186.1008;359.8013;250.129;359.4215
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_45_457.jpg;0;0;0;1.836431;102.7565;185.9967;359.8279;250.1288;359.4804
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_45_523.jpg;0;0;0;1.830318;102.7067;185.8587;359.8466;250.1287;359.5665
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_45_590.jpg;1.536477;0;0;1.82422;102.67;185.7557;359.8486;250.2044;359.6469
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_45_655.jpg;4.480469;0;0;1.815289;102.6352;185.6526;359.8398;250.5203;359.7663
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_45_722.jpg;7.481883;0;0;1.80734;102.5929;185.5149;359.8116;251.4161;0.004137953
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_45_789.jpg;10.50394;0;0;1.798453;102.5649;185.4114;359.7797;252.4374;0.2457951
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_45_855.jpg;13.50449;0;0;1.784466;102.5401;185.3075;359.7675;253.7201;0.5096484
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_45_921.jpg;15;0;0;1.770256;102.5128;185.1682;359.8017;255.8058;0.8866552
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_45_989.jpg;15;0;0;1.759479;102.4951;185.0631;359.8865;257.3748;1.125503
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_46_056.jpg;15;0;0;1.745437;102.4787;184.9574;0.03761878;258.9216;1.232797
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_46_122.jpg;15;0;0;1.736797;102.4612;184.8219;359.9609;260.9495;1.097324
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_46_189.jpg;15;0;0;1.730165;102.454;184.72;359.9066;262.486;1.010785
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_46_255.jpg;15;0;0;1.719741;102.4502;184.618;359.8755;264.0467;0.9551596
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_46_322.jpg;15;0;0;1.712286;102.4495;184.4822;359.8503;266.1343;0.9295891
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_46_388.jpg;14.983;0;0;1.705758;102.4521;184.3806;359.8474;267.6594;0.9333292
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_46_455.jpg;15;0;0;1.694982;102.4574;184.2791;359.8675;269.2133;0.948264
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_46_521.jpg;15;0;0;1.687366;102.4687;184.1444;359.9171;271.2911;0.9914996
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_46_588.jpg;15;0;0;1.679566;102.4805;184.044;359.9661;272.8511;1.039688
/home/Amine/Documents/udacity/Robotics Software Engineer/RoboND-Rover-Project/train_dataset/IMG/robocam_2019_09_29_01_05_46_655.jpg;15;0;0;1.669456;102.4949;183.9445;0.01155779;274.4143;1.090707
